tps,actual_tps,latency,quantile,success,error
100,99.95755297515032,1.338719,p50,838949.6707183784,0
100,99.95755297515032,1.6501409999999999,p90,636034.8564221538,0
100,99.95755297515032,1.745381,p95,820589.6709781702,0
100,99.95755297515032,1.785915,p99,888266.8239883538,0
200,199.5957881903547,1.082805,p50,861763.0150840072,0
200,199.5957881903547,1.3812449999999998,p90,585248.0500836093,0
200,199.5957881903547,1.533531,p95,1058031.9126751542,0
200,199.5957881903547,1.834881,p99,1084300.0422746786,0
300,299.3549445770364,0.560703,p50,957395.7516997786,0
300,299.3549445770364,0.7798160000000001,p90,685375.2333190758,0
300,299.3549445770364,0.916421,p95,1042278.5182488421,0
300,299.3549445770364,1.212428,p99,975496.1888964985,0
400,399.6750346209006,0.5377,p50,1060694.7703492823,0
400,399.6750346209006,0.688069,p90,669139.0577498868,0
400,399.6750346209006,0.7341179999999999,p95,955140.3040571772,0
400,399.6750346209006,0.8512689999999999,p99,936445.4914142492,0
500,498.8455098642289,0.5103949999999999,p50,1028699.9901814524,0
500,498.8455098642289,0.6363690000000001,p90,683810.1697993882,0
500,498.8455098642289,0.6706979999999999,p95,968713.5907294863,0
500,498.8455098642289,0.761263,p99,958114.0704957133,0
600,599.1338058949302,0.49440900000000004,p50,1016998.1022523841,0
600,599.1338058949302,0.662531,p90,703474.2573320301,0
600,599.1338058949302,0.701884,p95,1034493.1220122314,0
600,599.1338058949302,0.772045,p99,972623.8365640037,0
700,697.7517698359012,0.484534,p50,1083594.8833117422,0
700,697.7517698359012,0.6047560000000001,p90,782313.2235938964,0
700,697.7517698359012,0.6384770000000001,p95,942789.8219164585,0
700,697.7517698359012,0.64962,p99,939910.5605267519,0
800,798.2782750130086,0.484546,p50,1073717.7821177214,0
800,798.2782750130086,0.585502,p90,781790.1160699741,0
800,798.2782750130086,0.609448,p95,1097316.190062888,0
800,798.2782750130086,0.782769,p99,972262.3874899935,0
900,898.9145929898901,0.49933,p50,995308.1596134506,0
900,898.9145929898901,0.618348,p90,843595.5507439609,0
900,898.9145929898901,0.6496679999999999,p95,905558.7848208563,0
900,898.9145929898901,0.659514,p99,1082974.8329141638,0
1000,998.2418844142671,0.506293,p50,1093668.1743852012,0
1000,998.2418844142671,0.621189,p90,1081599.8994379358,0
1000,998.2418844142671,0.6435409999999999,p95,1082083.913947773,0
1000,998.2418844142671,0.704738,p99,1012809.4711145355,0
1100,1098.1145987284008,0.5257890000000001,p50,911457.2239719484,0
1100,1098.1145987284008,0.633007,p90,1009610.2131081831,0
1100,1098.1145987284008,0.6533329999999999,p95,1095499.3237407194,0
1100,1098.1145987284008,0.782164,p99,1014636.4554556278,0
1200,1198.2490418121654,0.524346,p50,965018.405818791,0
1200,1198.2490418121654,0.6230800000000001,p90,975204.1790828442,0
1200,1198.2490418121654,0.64237,p95,1028738.7935725414,0
1200,1198.2490418121654,0.717031,p99,953226.5396941798,0
1300,1297.7787374862633,0.529687,p50,1001924.0340352093,0
1300,1297.7787374862633,0.627351,p90,1006811.6906661161,0
1300,1297.7787374862633,0.646189,p95,1025979.9325444776,0
1300,1297.7787374862633,0.726015,p99,1074469.4133935631,0
1400,1397.7855247355849,0.5332549999999999,p50,1041966.4619230491,0
1400,1397.7855247355849,0.6321779999999999,p90,995296.2604464387,0
1400,1397.7855247355849,0.6516799999999999,p95,979490.2283172897,0
1400,1397.7855247355849,0.724585,p99,988004.8228625315,0
1500,1497.3945783554987,0.528795,p50,946474.7930836986,0
1500,1497.3945783554987,0.625811,p90,1002278.165726478,0
1500,1497.3945783554987,0.643887,p95,917019.4014782085,0
1500,1497.3945783554987,0.9712149999999999,p99,959978.6584102958,0
1600,1597.1240300109268,0.517835,p50,984976.8850649253,0
1600,1597.1240300109268,0.634525,p90,1027175.3710013713,0
1600,1597.1240300109268,0.659389,p95,1039214.0326822146,0
1600,1597.1240300109268,0.8629990000000001,p99,1086144.21708128,0
1700,1697.0159163022965,0.518432,p50,1096168.3433814612,0
1700,1697.0159163022965,0.657618,p90,932721.6249535894,0
1700,1697.0159163022965,0.691175,p95,999707.4773426801,0
1700,1697.0159163022965,0.898412,p99,1067427.961886939,0
1800,1798.1352654006396,0.507249,p50,1023340.7064852163,0
1800,1798.1352654006396,0.651864,p90,920663.6288965401,0
1800,1798.1352654006396,0.685271,p95,983955.522183034,0
1800,1798.1352654006396,0.8283649999999999,p99,967800.2209687675,0
1900,1896.9155659699281,0.502555,p50,852341.1083912413,48503.24462405045
1900,1896.9155659699281,0.6874579999999999,p90,967762.2210703382,55071.38783331192
1900,1896.9155659699281,0.732654,p95,906658.8058842678,51594.24251560122
1900,1896.9155659699281,0.918356,p99,959336.7265525463,54591.92741816607
2000,1996.7540606250157,0.5157029999999999,p50,805710.4022210737,98878.64951437933
2000,1996.7540606250157,0.7091569999999999,p90,918931.7346452418,112773.4340616049
2000,1996.7540606250157,0.749897,p95,833062.5911565355,102235.3735876258
2000,1996.7540606250157,0.9861900000000001,p99,937869.9586546404,115097.57684179989
2100,2093.771590584925,0.511636,p50,857136.9302136566,167174.16678903974
2100,2093.771590584925,0.722773,p90,844968.3750414047,164800.83762745454
2100,2093.771590584925,0.760687,p95,904384.0412659203,176389.1430022132
2100,2093.771590584925,0.943258,p99,792373.4450812216,154542.8341702592
2200,2201.5536687881013,42.842084,p50,815730.8322265728,234231.16147781443
2200,2201.5536687881013,45.024058,p90,766759.951118656,220169.52998450666
2200,2201.5536687881013,45.455634,p95,853677.1512242451,245127.1703345247
2200,2201.5536687881013,46.998765,p99,750180.3626716295,215408.8220336117
2300,2282.434823111691,86.074816,p50,766884.4433223933,280799.58946327656
2300,2282.434823111691,88.54412,p90,797012.2527324166,291831.0774370206
2300,2282.434823111691,89.437507,p95,683369.6168354392,250220.10751416255
2300,2282.434823111691,90.092704,p99,793193.7127078169,290432.8948547642
2400,2379.5773936027263,130.600772,p50,679609.0534879898,322745.6143672634
2400,2379.5773936027263,134.207115,p90,624803.480964711,296718.50645280443
2400,2379.5773936027263,135.188096,p95,625840.0643276839,297210.7787858591
2400,2379.5773936027263,136.747677,p99,667182.3967935285,316844.2083621478
